stem,class,split,group,path
crazing_103,crazing,test,5,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_103.jpg
crazing_110,crazing,test,13,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_110.jpg
crazing_111,crazing,test,14,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_111.jpg
crazing_126,crazing,test,30,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_126.jpg
crazing_128,crazing,test,32,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_128.jpg
crazing_134,crazing,test,39,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_134.jpg
crazing_139,crazing,test,44,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_139.jpg
crazing_140,crazing,test,46,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_140.jpg
crazing_141,crazing,test,47,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_141.jpg
crazing_156,crazing,test,63,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_156.jpg
crazing_158,crazing,test,65,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_158.jpg
crazing_162,crazing,test,70,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_162.jpg
crazing_167,crazing,test,75,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_167.jpg
crazing_170,crazing,test,79,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_170.jpg
crazing_176,crazing,test,85,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_176.jpg
crazing_178,crazing,test,87,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_178.jpg
crazing_18,crazing,test,89,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_18.jpg
crazing_183,crazing,test,93,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_183.jpg
crazing_187,crazing,test,97,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_187.jpg
crazing_188,crazing,test,98,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_188.jpg
crazing_204,crazing,test,117,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_204.jpg
crazing_208,crazing,test,121,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_208.jpg
crazing_210,crazing,test,124,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\NEU-DET\IMAGES\crazing\crazing_210.jpg
