stem,class,split,group,path
bs_02,Bright scratch,test,1,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_02.jpg
bs_04,Bright scratch,test,3,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_04.jpg
bs_06,Bright scratch,test,4,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_06.jpg
bs_105,Bright scratch,test,11,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_105.jpg
bs_106,Bright scratch,test,12,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_106.jpg
bs_22,Bright scratch,test,33,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_22.jpg
bs_32,Bright scratch,test,40,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_32.jpg
bs_37,Bright scratch,test,45,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_37.jpg
bs_42,Bright scratch,test,48,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_42.jpg
bs_45,Bright scratch,test,49,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_45.jpg
bs_51,Bright scratch,test,52,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_51.jpg
bs_56,Bright scratch,test,56,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_56.jpg
bs_58,Bright scratch,test,58,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_58.jpg
bs_63,Bright scratch,test,61,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_63.jpg
bs_75,Bright scratch,test,72,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_75.jpg
bs_83,Bright scratch,test,76,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_83.jpg
bs_94,Bright scratch,test,83,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_94.jpg
bs_98,Bright scratch,test,86,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_98.jpg
bs_01,Bright scratch,train,0,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_01.jpg
bs_07,Bright scratch,train,5,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_07.jpg
bs_09,Bright scratch,train,6,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_09.jpg
bs_102,Bright scratch,train,8,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_102.jpg
bs_103,Bright scratch,train,9,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_103.jpg
bs_104,Bright scratch,train,10,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_104.jpg
bs_110,Bright scratch,train,13,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_110.jpg
bs_111,Bright scratch,train,14,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_111.jpg
bs_113,Bright scratch,train,15,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_113.jpg
bs_115,Bright scratch,train,16,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_115.jpg
bs_117,Bright scratch,train,17,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_117.jpg
bs_118,Bright scratch,train,18,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_118.jpg
bs_12,Bright scratch,train,19,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_12.jpg
bs_121,Bright scratch,train,20,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_121.jpg
bs_122,Bright scratch,train,21,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_122.jpg
bs_123,Bright scratch,train,22,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_123.jpg
