stem,class,split,group,path
cracking_04,Crazing,test,3,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_04.jpg
cracking_100,Crazing,test,9,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_100.jpg
cracking_101,Crazing,test,10,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_101.jpg
cracking_118,Crazing,test,22,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_118.jpg
cracking_127,Crazing,test,28,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_127.jpg
cracking_143,Crazing,test,41,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_143.jpg
cracking_150,Crazing,test,45,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_150.jpg
cracking_153,Crazing,test,48,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_153.jpg
cracking_154,Crazing,test,49,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_154.jpg
cracking_163,Crazing,test,53,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_163.jpg
cracking_169,Crazing,test,59,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_169.jpg
cracking_172,Crazing,test,63,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_172.jpg
cracking_176,Crazing,test,66,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_176.jpg
cracking_194,Crazing,test,82,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_194.jpg
cracking_207,Crazing,test,90,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_207.jpg
cracking_208,Crazing,test,91,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_208.jpg
cracking_212,Crazing,test,95,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_212.jpg
cracking_213,Crazing,test,96,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_213.jpg
cracking_221,Crazing,test,101,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_221.jpg
cracking_225,Crazing,test,104,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_225.jpg
cracking_226,Crazing,test,105,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_226.jpg
cracking_243,Crazing,test,120,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_243.jpg
cracking_244,Crazing,test,121,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_244.jpg
cracking_253,Crazing,test,127,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_253.jpg
cracking_254,Crazing,test,128,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_254.jpg
cracking_274,Crazing,test,145,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_274.jpg
cracking_275,Crazing,test,146,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_275.jpg
cracking_278,Crazing,test,148,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_278.jpg
cracking_279,Crazing,test,149,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_279.jpg
cracking_290,Crazing,test,160,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crazing\cracking_290.jpg
