stem,class,split,group,path
in_03,Inclusion,test,0,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_03.jpg
in_05,Inclusion,test,2,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_05.jpg
in_10,Inclusion,test,5,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_10.jpg
in_100,Inclusion,test,6,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_100.jpg
in_107,Inclusion,test,10,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_107.jpg
in_112,Inclusion,test,14,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_112.jpg
in_114,Inclusion,test,16,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_114.jpg
in_119,Inclusion,test,19,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_119.jpg
in_138,Inclusion,test,34,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_138.jpg
in_158,Inclusion,test,48,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_158.jpg
in_186,Inclusion,test,71,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_186.jpg
in_19,Inclusion,test,74,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_19.jpg
in_191,Inclusion,test,75,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_191.jpg
in_200,Inclusion,test,84,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_200.jpg
in_201,Inclusion,test,85,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_201.jpg
in_210,Inclusion,test,90,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_210.jpg
in_215,Inclusion,test,93,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_215.jpg
in_218,Inclusion,test,95,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_218.jpg
in_231,Inclusion,test,105,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_231.jpg
in_235,Inclusion,test,107,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_235.jpg
in_238,Inclusion,test,109,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_238.jpg
in_241,Inclusion,test,112,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_241.jpg
in_242,Inclusion,test,113,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_242.jpg
in_251,Inclusion,test,121,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_251.jpg
in_266,Inclusion,test,132,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_266.jpg
in_278,Inclusion,test,141,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_278.jpg
in_290,Inclusion,test,151,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_290.jpg
in_292,Inclusion,test,152,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_292.jpg
in_298,Inclusion,test,156,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_298.jpg
in_302,Inclusion,test,161,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_302.jpg
in_307,Inclusion,test,166,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_307.jpg
in_317,Inclusion,test,175,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_317.jpg
in_318,Inclusion,test,176,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_318.jpg
in_331,Inclusion,test,187,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_331.jpg
in_335,Inclusion,test,189,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_335.jpg
in_344,Inclusion,test,196,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_344.jpg
in_345,Inclusion,test,197,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_345.jpg
in_348,Inclusion,test,199,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_348.jpg
in_35,Inclusion,test,201,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_35.jpg
in_37,Inclusion,test,219,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_37.jpg
in_380,Inclusion,test,226,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_380.jpg
in_39,Inclusion,test,232,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_39.jpg
in_393,Inclusion,test,234,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Inclusion\in_393.jpg
